index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
150,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
151,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
152,80.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
153,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
154,80.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
155,80.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
156,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
157,80.0,2560.0,2560.0,8480.0,0.0,0.0,2240.0
158,0.0,2560.0,2480.0,8400.0,0.0,80.0,2240.0
159,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
160,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
161,0.0,2560.0,2560.0,8480.0,0.0,0.0,2320.0
162,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
163,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
164,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
165,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
166,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
167,0.0,2480.0,2560.0,8480.0,-80.0,80.0,2320.0
168,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
169,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
170,80.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
171,80.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
172,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
173,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
174,80.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
175,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
176,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
177,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
178,0.0,2480.0,2560.0,8400.0,0.0,80.0,2240.0
179,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
180,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
181,80.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
182,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
183,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
184,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
185,80.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
186,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
187,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
188,0.0,2480.0,2480.0,8400.0,0.0,80.0,2320.0
189,0.0,2560.0,2480.0,8400.0,-80.0,80.0,2320.0
