TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
295,744.0,1232.0,570.6666666666666,1720.0,6192.0
296,741.3333333333334,1226.6666666666667,570.6666666666666,1706.6666666666667,6202.666666666667
297,736.0,1221.3333333333333,568.0,1698.6666666666667,6216.0
298,730.6666666666666,1216.0,570.6666666666666,1688.0,6229.333333333333
299,725.3333333333334,1213.3333333333333,568.0,1674.6666666666667,6240.0
300,720.0,1210.6666666666667,565.3333333333334,1661.3333333333333,6253.333333333333
301,714.6666666666666,1208.0,565.3333333333334,1648.0,6266.666666666667
302,712.0,1200.0,565.3333333333334,1634.6666666666667,6280.0
303,706.6666666666666,1194.6666666666667,565.3333333333334,1621.3333333333333,6290.666666666667
304,698.6666666666666,1189.3333333333333,562.6666666666666,1613.3333333333333,6304.0
305,693.3333333333334,1184.0,560.0,1602.6666666666667,6314.666666666667
306,688.0,1178.6666666666667,557.3333333333334,1589.3333333333333,6328.0
307,682.6666666666666,1176.0,557.3333333333334,1576.0,6341.333333333333
308,680.0,1170.6666666666667,557.3333333333334,1562.6666666666667,6354.666666666667
309,677.3333333333334,1165.3333333333333,557.3333333333334,1549.3333333333333,6368.0
310,672.0,1160.0,554.6666666666666,1536.0,6378.666666666667
311,669.3333333333334,1154.6666666666667,552.0,1522.6666666666667,6386.666666666667
312,664.0,1149.3333333333333,552.0,1512.0,6397.333333333333
313,661.3333333333334,1144.0,552.0,1501.3333333333333,6413.333333333333
314,656.0,1138.6666666666667,552.0,1490.6666666666667,6424.0
315,650.6666666666666,1133.3333333333333,552.0,1477.3333333333333,6434.666666666667
316,645.3333333333334,1130.6666666666667,552.0,1466.6666666666667,6450.666666666667
317,640.0,1125.3333333333333,554.6666666666666,1453.3333333333333,6464.0
