index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
232,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
233,-160.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
234,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
235,-240.0,3600.0,4080.0,8560.0,0.0,-400.0,3920.0
236,-240.0,3680.0,4080.0,8560.0,80.0,-400.0,3920.0
237,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
238,-240.0,3680.0,4080.0,8560.0,80.0,-400.0,3920.0
239,-240.0,3680.0,4000.0,8560.0,80.0,-400.0,3920.0
240,-240.0,3600.0,4080.0,8560.0,80.0,-400.0,3920.0
241,-240.0,3600.0,4000.0,8560.0,80.0,-320.0,3920.0
242,-240.0,3600.0,4080.0,8560.0,80.0,-400.0,3920.0
243,-240.0,3600.0,4000.0,8560.0,80.0,-400.0,3840.0
244,-320.0,3600.0,4000.0,8560.0,80.0,-400.0,3920.0
245,-320.0,3600.0,4080.0,8560.0,0.0,-400.0,3920.0
246,-240.0,3600.0,4080.0,8560.0,80.0,-400.0,3920.0
247,-320.0,3600.0,4000.0,8560.0,0.0,-400.0,3920.0
248,-320.0,3600.0,4080.0,8560.0,80.0,-400.0,3840.0
249,-320.0,3520.0,4000.0,8560.0,80.0,-480.0,3920.0
250,-320.0,3600.0,4000.0,8560.0,80.0,-400.0,3840.0
251,-320.0,3520.0,4000.0,8560.0,80.0,-480.0,3920.0
252,-320.0,3520.0,4000.0,8560.0,0.0,-400.0,3840.0
253,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
254,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
255,-320.0,3520.0,4000.0,8560.0,80.0,-480.0,3920.0
256,-320.0,3520.0,4000.0,8560.0,0.0,-480.0,3840.0
257,-400.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
258,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
259,-320.0,3520.0,4080.0,8560.0,80.0,-400.0,3840.0
260,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3920.0
261,-320.0,3520.0,4000.0,8560.0,0.0,-400.0,3840.0
262,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
263,-320.0,3520.0,4000.0,8560.0,0.0,-400.0,3840.0
264,-320.0,3520.0,4000.0,8560.0,0.0,-400.0,3840.0
265,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
266,-320.0,3520.0,4000.0,8560.0,80.0,-400.0,3840.0
267,-400.0,3440.0,4000.0,8560.0,80.0,-400.0,3840.0
268,-400.0,3520.0,4000.0,8560.0,80.0,-560.0,3840.0
269,-400.0,3520.0,4000.0,8560.0,80.0,-480.0,3840.0
270,-400.0,3520.0,4000.0,8480.0,80.0,-480.0,3840.0
271,-400.0,3440.0,3920.0,8560.0,80.0,-480.0,3840.0
272,-400.0,3440.0,3920.0,8560.0,80.0,-480.0,3840.0
273,-400.0,3440.0,4000.0,8480.0,80.0,-480.0,3840.0
274,-400.0,3440.0,4000.0,8560.0,80.0,-480.0,3840.0
275,-400.0,3440.0,4000.0,8560.0,80.0,-560.0,3840.0
276,-400.0,3440.0,4000.0,8560.0,80.0,-480.0,3840.0
277,-400.0,3440.0,4000.0,8560.0,80.0,-560.0,3840.0
278,-400.0,3360.0,3920.0,8560.0,0.0,-560.0,3840.0
279,-400.0,3360.0,3920.0,8560.0,80.0,-560.0,3840.0
280,-400.0,3360.0,3920.0,8480.0,80.0,-560.0,3840.0
281,-480.0,3360.0,3920.0,8560.0,80.0,-560.0,3840.0
282,-480.0,3360.0,3920.0,8560.0,0.0,-560.0,3840.0
283,-400.0,3360.0,3920.0,8560.0,80.0,-560.0,3840.0
